SampleSiteID,SampleSiteCode,Site_Veg,Needles,Genus,LMA_gm2,LWA_gm2,LWC_%,d15N,d13C,N_weight_percent,C_weight_percent,CN,1C,8P,8U,Al,As,Co,Cr,Cu,Mo,Na,Ni,Se,Si,Sr,Zn
83,083-ER18,Meadow,False,,58.3607052905,165.77634688345412,74.11500000000001,1.54,-25.81,3.76,46.59,14.450150588243215,42.518518518518526,88.07407407407406,,37001.23456790123,,25.308641975308646,337.1111111111111,6582.271604938272,1096.3703703703702,,1166.2222222222224,273.3333333333333,20403.827160493824,38043.950617283954,15682.246913580244
84,084-ER18,Meadow,False,,66.18141755666667,227.82090539394574,77.31666666666666,2.17,-25.0,3.55,45.76,15.032290855208098,643.989898989899,49.6969696969697,,50525.25252525252,,30.025252525252533,320.95959595959596,12620.959595959595,283.6868686868687,,1892.6262626262626,107.6767676767677,20598.358585858583,91017.92929292927,31755.328282828286
85,085-ER18,Elderberry,False,Sambucus,40.7,139.18718034285763,77.4,0.55,-25.14,4.44,47.69,12.525984206874996,7.1039603960396045,39.57920792079208,,43263.1188118812,,13.193069306930695,403.9108910891089,6908.094059405941,923.5148514851486,1438.0445544554455,433.3415841584159,390.71782178217836,23011.757425742573,40370.79207920792,28132.69801980198
86,086-ER18,boothii,False,Salix,56.9,119.75719151841236,67.8,-1.11,-26.8,4.2,48.73,13.530524389562162,456.125,32.8,,25614.75,,739.025,276.75,5706.175,176.29999999999995,7163.7249999999985,1789.65,92.25,14652.375000000002,52797.74999999999,42354.02499999999
87,087-ER18,Elderberry,False,Sambucus,39.8,139.6429212355562,77.8,0.26,-26.72,4.89,48.58,11.585536740986731,,42.13032581453635,,35636.09022556391,,19.52380952380953,390.4761904761906,5527.293233082708,803.5588972431077,1915.3884711779447,856.9924812030074,387.3934837092732,23618.671679198,54625.56390977444,29029.849624060156
88,088-ER18,glauca,False,Salix,53.1,111.42063772418943,67.7,-0.97,-28.56,3.08,46.63,17.655588836966697,357.358024691358,47.58024691358025,,25420.0,,562.8641975308642,306.7407407407407,7604.740740740738,190.320987654321,5034.3950617283945,1970.0246913580245,247.0123456790123,20636.666666666668,72625.67901234567,79692.86419753086
89,089-ER18,boothii,False,Salix,61.5,145.60622045090454,70.3,-0.65,-26.69,3.26,49.6,17.74318512822999,1409.185185185185,43.53086419753086,,29702.222222222223,,320.9135802469136,334.07407407407413,6107.481481481482,90.09876543209877,27272.59259259259,6710.83950617284,132.6172839506173,20768.27160493827,90797.28395061726,60751.87654320987
90,090-ER18,glauca,False,Salix,63.5,134.39116871559153,67.9,-0.91,-27.19,3.53,46.45,15.345410847188173,2261.1194029850744,80.57213930348259,,39929.10447761193,,2090.796019900497,390.6218905472637,7939.925373134327,133.60696517412936,50332.0895522388,5065.845771144278,223.35820895522392,23177.238805970148,97237.3134328358,135739.57711442787
91,091-ER18,boothii,False,Salix,52.7,131.3649821106169,71.4,-2.83,-26.92,3.02,49.94,19.28453194356445,3939.255583126551,25.434243176178665,,19380.893300248146,,210.59553349875927,240.0992555831266,5668.7841191067,105.80645161290323,522.9280397022333,2353.17617866005,217.71712158808938,18663.647642679898,54307.19602977668,126653.37468982633
92,092-ER18,boothii,False,Salix,66.6,133.86900128121792,66.8,-2.62,-27.5,2.82,49.68,20.54470862771476,2256.009852216749,55.54187192118226,,35960.837438423645,,231.25615763546799,315.07389162561583,8690.7881773399,136.33004926108373,20267.733990147783,1882.3645320197045,323.15270935960586,22080.418719211815,44251.724137931036,74497.80788177339
93,093-ER18,brachy,False,Salix,65.5,136.52642478845002,67.6,-2.33,-25.91,3.11,46.32,17.36903415462049,2143.5980148883373,56.97270471464021,,38446.40198511166,,1074.3424317617869,374.39205955334984,6461.315136476428,115.98014888337471,28659.30521091812,3699.1563275434255,405.9305210918115,21888.70967741936,39616.37717121589,159921.36476426802
94,094-ER18,Juniper,True,Juniperus,197.2,178.30423230754354,47.5,-4.11,-25.23,1.37,50.64,43.10628910632544,52.641975308641975,76.93827160493827,,40301.48148148148,,132.6172839506173,1723.0123456790122,3292.1481481481483,726.8641975308641,5250.024691358025,2034.8148148148146,48.592592592592595,26052.716049382714,75541.23456790124,22090.395061728388
95,095-ER18,Engelmann,True,Picea,427.7,295.56179363567134,40.9,-2.42,-25.94,0.77,47.78,72.36406044437217,93.36633663366337,91.33663366336634,,53350.74257425742,,23.34158415841584,325.76732673267327,1107.20297029703,15.222772277227724,7083.663366336635,413.0445544554455,102.5,78402.35148514852,74236.38613861387,11194.826732673266
96,096-ER18,Engelmann,True,Picea,323.8,262.9595752147226,44.8,-5.23,-26.72,0.93,51.14,64.12764371123919,37.456790123456784,48.592592592592595,,239318.5185185185,,44.54320987654321,335.08641975308643,1406.1481481481478,28.34567901234568,,387.72839506172835,19.23456790123457,26396.913580246914,82951.6049382716,19255.827160493824
97,097-ER18,Aspen,False,Populus,73.5,143.70654339923095,66.2,-2.62,-26.21,2.82,49.35,20.40824015253066,394.85221674876846,16.157635467980295,19.1871921182266,8042.463054187191,,65.64039408866994,283.76847290640393,5029.064039408867,54.5320197044335,,310.0246305418719,155.51724137931038,24180.911330049257,52471.921182266015,68620.46798029555
98,098-ER18,Lodgepole,True,Pinus,304.7,285.07626811482913,48.3,-3.81,-27.13,0.84,50.08,69.52684808426773,189.85221674876846,38.3743842364532,5.0492610837438425,515731.527093596,,13.128078817733991,405.9605911330048,1504.6798029556646,22.216748768472904,13077.586206896547,209.03940886699507,137.3399014778325,22656.03448275862,7631.453201970443,41192.881773399014
99,099-ER18,Lodgepole,True,Pinus,352.9,361.664786260499,50.6,-1.0,-25.88,1.09,52.22,55.86989781206559,197.9310344827586,28.27586206896552,,636408.8669950739,,60.59113300492611,304.97536945812806,1480.4433497536945,32.31527093596059,,392.83251231527095,131.28078817733987,16889.77832512315,5809.679802955665,61955.44334975369
100,100-ER18,Lodgepole,True,Pinus,319.0,340.7841333946459,51.7,-4.39,-25.84,1.02,50.39,57.61183312526723,192.82178217821786,23.34158415841584,,669091.5841584159,,84.23267326732675,340.99009900990114,1748.5891089108914,36.534653465346544,3103.4158415841575,280.09900990099015,37.54950495049508,21042.94554455446,9779.10891089109,65489.38118811883
101,101-ER18,Lodgepole,True,Pinus,362.5,339.2768766619226,48.3,-4.03,-25.84,1.08,52.38,56.55997985129926,254.48275862068962,65.64039408866994,,744665.0246305419,,87.85714285714283,354.4581280788176,1781.3793103448277,24.236453201970445,,239.33497536945808,108.0541871921182,19414.40886699507,7232.561576354679,34537.95566502463
102,102-ER18,Aspen,False,Populus,73.3,141.73650009901172,65.9,-2.71,-24.9,2.88,50.26,20.351550596551405,367.37623762376234,16.237623762376238,,18439.85148514852,,269.950495049505,359.25742574257424,7133.391089108914,73.06930693069306,,929.6039603960397,49.72772277227723,24523.886138613863,34910.89108910891,79829.23267326734
103,103-ER18,Aspen,False,Populus,72.4,134.8137059214904,65.1,-1.83,-24.88,3.36,49.13,17.051987052616184,259.1604938271605,27.33333333333333,,14071.604938271605,,233.85185185185185,292.5679012345678,8236.444444444443,61.753086419753075,6275.530864197531,975.9012345679013,123.5061728395062,23096.666666666664,25926.172839506173,69802.24691358024
104,104-ER18,wolfii,False,Salix,68.7,139.74568957062434,67.1,-1.26,-25.76,3.15,45.7,16.918940135522018,1567.5870646766168,77.51243781094526,,48567.661691542286,,337.58706467661693,357.98507462686564,5697.164179104478,229.4776119402985,10627.363184079599,1968.4079601990047,349.82587064676613,20086.94029850746,10953.731343283584,86559.97512437809
105,105-ER18,wolfii,False,Salix,63.9,111.09201766779958,63.5,-4.55,-27.34,2.95,47.31,18.70244729522955,4442.853598014889,86.47642679900746,,36004.71464019852,,400.8436724565757,373.3746898263028,9233.647642679902,517.8411910669976,25271.46401985112,2571.9106699751865,721.315136476427,19762.406947890817,33257.81637717122,110782.40694789082
106,106-ER18,boothii,False,Salix,69.2,137.87033236069658,66.6,-0.66,-26.66,3.25,48.03,17.23442240924919,3631.283950617284,11.135802469135802,,9092.888888888889,,823.0370370370371,250.04938271604942,7763.679012345678,306.7407407407407,15195.308641975307,1986.222222222222,1286.6913580246912,19077.654320987647,17888.14814814815,89360.76543209876
107,107-ER18,boothii,False,Salix,49.5,121.92834365034702,71.1,3.88,-26.01,3.88,50.68,15.232542134466184,3985.653266331659,,4.120603015075377,14071.859296482417,30.90452261306533,586.1557788944723,224.57286432160808,4465.70351758794,264.748743718593,7362.4874371859305,3034.8241206030157,11723.115577889448,22120.427135678397,28047.914572864327,77838.19095477388
108,108-ER18,boothii,False,Salix,63.9,128.19819647463277,66.7,0.12,-25.5,3.24,50.33,18.115462555147584,3968.841309823677,,3.098236775818642,10626.952141057933,22.72040302267002,362.49370277078077,184.8614609571788,3180.8564231738037,212.74559193954656,6483.576826196472,2341.2342569269517,15893.954659949619,19718.21158690176,24452.31738035264,46824.685138539055
109,109-ER18,wolfii,False,Salix,66.0,99.69004559026155,60.1,-1.18,-26.75,2.71,46.78,20.13067947992376,2338.3291770573564,,3.0673316708229446,37554.364089775554,29.650872817955108,366.0349127182045,272.9925187032419,4815.710723192019,276.0598503740648,13056.608478802991,4344.36408977556,7836.009975062342,22343.46633416459,14536.084788029924,59179.0523690773
110,110-ER18,brachy,False,Salix,57.3,112.08446372956173,66.2,-1.22,-28.14,3.02,45.4,17.53139267596768,2387.945544554456,,2.0297029702970315,22661.633663366338,30.44554455445545,687.0544554455447,236.460396039604,6963.91089108911,411.0148514851486,15963.613861386142,1466.460396039604,8802.821782178218,22583.4900990099,18629.62871287129,102702.97029702972
111,111-ER18,drumm,False,Salix,63.0,120.40882944254831,65.7,-1.66,-27.12,3.54,48.86,16.095990538380114,5397.639593908631,43.705583756345185,3.121827411167516,33164.21319796955,20.81218274111676,584.8223350253808,,11373.857868020305,243.50253807106608,59637.30964467005,4492.309644670052,5826.370558375636,20045.253807106597,14731.903553299493,131741.11675126903
112,112-ER18,PotFru,False,Pentaphylloides,72.4,103.07198902716986,58.7,-0.02,-24.78,2.81,42.47,17.625581276623837,96.2878787878788,60.050505050505045,3.1060606060606086,41786.86868686868,21.742424242424246,59.01515151515152,300.25252525252523,7090.10101010101,472.1212121212122,40596.21212121213,3669.292929292929,5699.621212121211,23267.500000000004,15972.398989898991,22953.78787878788
113,113-ER18,PotFru,False,Pentaphylloides,71.4,105.27652339048922,59.6,-1.16,-25.7,2.95,42.81,16.923520792829784,36.444444444444436,,2.024691358024693,38064.1975308642,7.086419753086419,35.4320987654321,260.1728395061728,5989.037037037037,1625.8271604938273,23466.172839506165,1283.6543209876545,4161.753086419752,20128.46913580247,13754.740740740739,24276.04938271605
114,114-ER18,Engelmann,True,Picea,432.2,321.9698505501991,42.7,-2.42,-25.75,0.83,43.76,61.48465329258118,111.63366336633663,,2.0297029702970315,16785.643564356436,,36.534653465346544,205.0,1256.3861386138615,314.6039603960396,,309.529702970297,5927.747524752475,30631.26237623763,25611.806930693067,19931.68316831683
115,115-ER18,Engelmann,True,Picea,386.6,239.4972421706185,38.3,-3.71,-24.39,0.79,44.55,65.76398544631036,192.02531645569616,,1.0379746835443049,31108.101265822785,,43.59493670886077,214.86075949367088,1360.7848101265822,63.31645569620254,858.4050632911391,702.7088607594935,3485.5189873417717,32190.708860759496,43892.835443037984,25855.949367088608
116,116-ER18,Engelmann,True,Picea,396.8,293.6586500015852,42.5,-2.18,-26.18,0.83,45.96,64.57574646542575,56.97270471464021,,1.0173697270471471,24874.68982630273,,35.60794044665013,278.75930521091817,1431.4392059553354,60.02481389578165,,417.12158808933,3750.024813895782,27736.550868486356,52116.79900744417,86608.68486352358
117,117-ER18,Engelmann,True,Picea,476.7,369.9993952405431,43.7,0.91,-26.67,0.81,45.23,65.1192029699444,10.199004975124376,,2.0398009950248768,17899.253731343284,,18.35820895522388,225.39800995024876,976.0447761194031,53.034825870646756,,180.52238805970143,3182.089552238806,31640.373134328358,45739.477611940296,31861.691542288554
118,118-ER18,Aspen,False,Populus,61.5,105.27155687101447,63.1,0.49,-26.19,3.4,49.51,16.981713780702403,1274.4080604534006,,,5459.093198992442,,608.2871536523927,246.8261964735516,6985.491183879093,100.17632241813602,844.7858942065491,3376.045340050377,2587.027707808564,26069.596977329977,9910.22670025189,82578.33753148612
119,119-ER18,Engelmann,True,Picea,427.2,299.4275108998782,41.2,0.98,-24.93,0.88,44.68,59.21040065032921,124.73815461346632,,1.0224438902743151,28638.653366583534,,38.85286783042394,188.12967581047383,929.4014962593517,21.4713216957606,5491.546134663342,576.6583541147131,2993.715710723192,33120.024937655864,36528.852867830414,22422.19451371571
120,120-ER18,SubFir,True,Abies,290.7,267.64014240859706,47.9,-1.53,-26.14,1.23,47.91,45.4243338307895,100.68354430379749,,2.0759493670886093,108156.96202531645,5.189873417721518,45.67088607594936,310.3544303797468,2015.746835443038,53.97468354430379,4829.696202531645,625.8987341772151,2483.8734177215188,23845.392405063296,64963.721518987324,19513.92405063291
121,121-ER18,Engelmann,True,Picea,443.0,354.014774176472,44.4,0.21,-24.34,1.03,47.14,53.37278450986382,88.95261845386531,,1.0224438902743151,30980.049875311717,,23.51620947630923,288.32917705735656,1052.094763092269,30.67331670822943,,280.14962593516213,2976.3341645885284,50010.798004987526,80739.32668329177,38525.68578553615
122,122-ER18,Aspen,False,Populus,69.3,109.36241155683894,61.2,-0.58,-26.23,3.13,49.96,18.61425245130866,1597.3762376237626,,1.0148514851485158,,,338.960396039604,255.74257425742582,9168.168316831685,108.58910891089107,4789.0841584158425,2489.430693069307,2782.7227722772277,26825.569306930687,35821.21287128713,105443.06930693072
123,123-ER18,Aspen,False,Populus,65.6,103.53761908710982,61.2,0.44,-26.55,2.84,50.77,20.847612727243092,482.5935162094763,,,2250.399002493765,,293.44139650872813,236.1845386533666,5282.967581047381,115.53615960099751,,2158.3790523690773,2518.279301745636,26361.67082294264,32479.975062344136,48504.73815461346
124,124-ER18,Engelmann,True,Picea,404.5,300.156744641819,42.6,,-25.12,0.69,46.29,78.23581255988772,57.2568578553616,,1.0224438902743151,35325.436408977555,,26.583541147132173,242.31920199501243,953.9401496259352,15.336658354114714,1400.7481296758106,152.34413965087282,1424.2643391521194,70623.2668329177,52693.690773067334,43740.14962593516
125,125-ER18,Engelmann,True,Picea,359.9,282.29798165738083,44.0,,-24.83,0.61,47.83,91.44038655695938,35.875,9.225,21.525,40692.5,12.3,39.975,259.325,689.8250000000003,87.125,353.62499999999994,270.6,1524.1750000000004,36154.82499999998,45025.175,62873.5
126,126-ER18,Engelmann,True,Picea,380.8,291.5970184198061,43.4,,-25.12,0.79,46.86,69.17396987685979,36.80798004987531,,6.134663341645888,30928.927680798,,34.763092269326684,320.02493765586036,1261.6957605985035,43.96508728179551,,257.6558603491272,1309.7506234413966,67167.40648379053,68377.9800498753,31501.49625935162
127,127-ER18,SubFir,True,Abies,309.8,270.76838792469454,46.6,,-26.55,0.81,48.62,69.9999037894914,33.21518987341772,,3.1139240506329138,292812.65822784806,,19.721518987341767,263.6455696202531,1113.7468354430378,29.063291139240505,,181.64556962025318,1186.4050632911392,24592.734177215192,49051.56962025316,17905.063291139242
128,128-ER18,Aspen,False,Populus,80.2,103.84749067925532,56.4,0.9,-25.78,2.78,51.67,21.67510315891592,422.3,,1.0250000000000008,3017.6,,775.925,244.975,3943.175,35.875,10434.5,2574.8,1261.775,25679.325,35010.925,68131.75
129,129-ER18,Aspen,False,Populus,84.8,126.22898041989124,59.8,0.55,-25.82,2.81,47.13,19.55953957069182,503.1818181818181,,1.035353535353536,,,272.2979797979798,203.96464646464645,4836.136363636364,69.36868686868685,,2310.909090909091,1387.3737373737374,22915.479797979795,30953.964646464647,84867.92929292929
130,130-ER18,Aspen,False,Populus,94.1,132.96960421014694,58.6,-0.26,-26.13,2.47,45.61,21.534293426418124,313.7121212121212,,1.035353535353536,,25.88383838383839,254.6969696969697,209.14141414141412,3164.040404040404,46.59090909090909,,1505.4040404040402,618.1060606060606,22563.459595959594,52261.5404040404,72547.2222222222
131,131-ER18,Engelmann,True,Picea,355.6,290.6311423830199,45.0,,-26.0,0.84,44.94,62.390905609165166,15.452261306532664,,1.0301507537688452,14854.773869346736,,31.934673366834172,300.80402010050256,1200.1256281407034,12.361809045226133,,319.3467336683417,335.82914572864325,72453.59296482411,94327.81407035176,75479.14572864321
132,132-ER18,Aspen,False,Populus,70.1,100.72068967992476,59.0,0.1,-25.74,2.75,48.09,20.393397796056096,614.4810126582278,,,2907.367088607595,,249.1139240506329,235.62025316455697,5675.645569620253,33.21518987341772,,1730.3037974683546,1031.7468354430378,24146.405063291142,37831.06329113923,72616.70886075949
133,133-ER18,Aspen,False,Populus,79.1,115.83177013884179,59.4,-0.39,-26.26,2.76,50.57,21.3673851866144,502.37974683544303,,,4505.848101265822,,389.2405063291138,264.6835443037975,4763.265822784811,26.987341772151893,,1215.4683544303798,1953.4683544303796,26647.92405063291,71264.22784810126,76903.54430379746
134,134-ER18,boothii,False,Salix,78.4,148.66531263600754,65.5,0.36,-24.03,2.8,43.63,18.1716636296921,635.8121827411167,,2.0812182741116767,70085.02538071066,23.934010152284266,682.6395939086296,339.23857868020315,5484.010152284264,32.25888324873097,16576.903553299493,2594.238578680203,625.4060913705582,22313.78172588833,38946.87817258883,70584.51776649746
135,135-ER18,boothii,False,Salix,60.2,118.33344107569977,66.3,-1.2,-25.49,3.6,50.24,16.274761670843496,334.60957178841306,,,8517.052896725441,6.196473551637279,1409.6977329974811,229.2695214105794,7079.471032745592,28.916876574307302,3115.793450881612,1804.206549118388,481.25944584382864,19232.82115869017,63634.68513853903,102613.60201511334
136,136-ER18,PotFru,False,Pentaphylloides,74.4,102.8643920366963,58.0,-0.26,-26.22,2.59,43.25,19.473941237660256,10.123456790123457,,1.0123456790123466,25389.629629629628,6.0740740740740735,27.33333333333333,239.92592592592587,8567.48148148148,278.39506172839504,12036.790123456787,678.2716049382717,411.01234567901236,16615.629629629628,75345.85185185184,26047.65432098765
137,137-ER18,planifolia,False,Salix,70.2,114.23348375369898,61.9,-1.65,-25.63,3.24,44.79,16.12142991943295,1276.827411167513,,1.0406091370558386,13403.045685279189,5.203045685279188,834.5685279187819,273.6802030456853,6652.61421319797,214.36548223350255,,1154.035532994924,526.5482233502538,21783.07106598985,62308.553299492385,121751.26903553301
138,138-ER18,Sage,False,Artemisia ,96.3,127.59677129671323,57.0,-2.08,-25.33,2.53,48.14,22.18978387222645,91.7910447761194,,1.0199004975124386,6428.432835820895,9.17910447761194,17.338308457711438,259.05472636815915,5253.507462686566,226.4179104477612,3010.7462686567155,1477.8358208955224,133.60696517412936,20564.25373134328,18814.10447761194,25834.079601990048
139,139-ER18,Sage,False,Artemisia ,86.4,165.1270249635443,65.7,0.95,-25.33,2.43,48.78,23.41008711676533,136.66666666666666,,1.0123456790123466,27424.44444444444,10.123456790123457,25.308641975308646,243.97530864197532,8840.814814814814,270.2962962962963,4148.592592592592,8354.888888888889,121.48148148148148,20837.111111111117,18846.83950617284,18728.395061728395
140,140-ER18,boothii,False,Salix,75.2,129.1110569139441,63.2,-0.46,-24.82,3.86,46.31,13.991200613822281,965.8457711442784,,1.0199004975124386,24559.2039800995,50.995024875621894,914.8507462686566,297.81094527363183,7289.2288557213915,88.73134328358208,9065.895522388058,3003.606965174129,449.7761194029851,22032.910447761195,76979.02985074627,126059.70149253731
141,141-ER18,planifolia,False,Salix,87.3,125.77853404457383,59.0,0.22,-25.03,3.14,49.26,18.294993810985627,1039.9748110831233,,,15336.272040302269,19.622166246851386,980.0755667506296,277.808564231738,5969.26952141058,71.2594458438287,881.9647355163727,3615.6423173803523,154.91183879093197,23198.564231738037,33530.15113350125,97604.78589420656
142,142-ER18,Willow,False,Salix,65.6,127.97084122348109,66.1,-1.0,-25.76,3.39,50.39,17.334533860699874,897.005076142132,7.284263959390863,56.19289340101521,60761.16751269037,72.84263959390864,1039.5685279187821,346.522842639594,7022.0304568527945,57.23350253807106,5334.162436548225,3735.7868020304572,448.502538071066,25206.67512690356,58926.573604060926,168474.61928934013
143,143-ER18,planifolia,False,Salix,78.2,120.15915719033299,60.6,1.08,-24.37,3.42,48.17,16.425479167040965,1317.3433583959902,16.441102756892235,14.385964912280706,82061.65413533835,31.854636591478695,2106.5162907268173,398.6967418546367,6199.323308270677,78.09523809523809,6106.842105263158,3137.167919799499,70.90225563909776,27233.65914786968,35910.451127819535,128754.38596491226
144,144-ER18,Meadow,False,,55.366449781,156.24508346140013,73.71,-1.88,-25.34,3.37,44.85,15.520297937108948,448.40506329113924,91.34177215189872,10.379746835443036,99469.11392405063,76.81012658227847,115.21518987341771,609.2911392405064,11490.379746835442,1091.9493670886077,5463.898734177215,2252.4050632911394,129.74683544303798,25236.27848101266,23278.6582278481,36536.708860759485
145,145-ER18,Meadow,False,,52.62634488944445,156.92997128825849,75.14444444444445,0.05,-26.49,3.89,45.73,13.709420817851296,771.4609571788412,102.24181360201513,8.261964735516374,120727.95969773301,100.17632241813602,214.81108312342568,683.6775818639799,11556.423173803523,550.4534005037784,9898.866498740555,2369.11838790932,198.28715365239293,24520.478589420654,18668.94206549118,39729.72292191436
146,146-ER18,Meadow,False,,46.93535153357143,173.63818441368093,78.68571428571428,-0.66,-25.58,3.78,47.14,14.543377789724797,306.475,,4.1,43009.0,12.3,47.15,575.025,10137.25,1192.0749999999996,7653.674999999998,1460.625,46.12499999999999,20841.325,23889.675,39718.75
147,147-ER18,Meadow,False,,50.84905720736843,175.04003443200563,77.35263157894737,0.87,-24.72,3.69,46.95,14.838046847252258,362.49370277078077,,3.098236775818642,25601.76322418136,,23.75314861460957,296.3979848866498,12640.806045340049,1319.8488664987406,9097.455919395465,897.4559193954658,81.58690176322419,18984.962216624685,15333.173803526448,32562.468513853906
148,148-ER18,Meadow,False,,61.393574960869564,175.9523283165296,73.94347826086957,-0.52,-25.92,3.88,43.97,13.21576317388473,360.6766917293232,,2.0551378446115307,22329.072681704267,6.165413533834587,64.73684210526315,319.57393483709274,9906.791979949876,1201.2280701754387,1803.3834586466169,2682.982456140351,246.6165413533835,24305.08771929825,27021.979949874687,40979.448621553885
149,149-ER18,Meadow,False,,70.21602183666668,179.838742209425,71.68333333333334,-0.18,-26.29,3.25,47.05,16.882772732774814,151.05263157894737,,3.0827067669172963,60513.53383458647,16.441102756892235,93.50877192982458,478.84711779448634,7701.629072681707,720.3258145363409,5205.664160401003,1567.0426065162908,164.41102756892238,23493.308270676695,23446.040100250626,38996.24060150376
150,150-ER18,Meadow,False,,55.378888241052636,174.94655364822876,75.65789473684211,1.33,-26.41,3.51,46.02,15.289983098403928,356.1616161616161,,2.0707070707070723,21763.131313131307,20.70707070707071,35.2020202020202,314.74747474747466,8939.242424242426,1119.2171717171716,4042.0202020202014,3761.439393939393,306.46464646464636,17842.247474747473,34349.92424242424,29466.161616161626
151,151-ER18,Meadow,False,,53.68617744,154.57248550508714,74.235,0.23,-25.72,3.62,45.52,14.66429505514121,78.2442748091603,,1.0432569974554715,3865.267175572519,,29.211195928753185,231.60305343511456,10172.798982188297,830.4325699745548,,1555.4961832061072,349.49109414758277,19585.06361323156,19161.50127226463,24485.241730279904
152,152-ER18,Meadow,False,,68.74194594931036,177.58001022228743,72.12068965517241,1.22,-26.3,3.78,45.72,14.105287071408949,437.05583756345186,,1.0406091370558386,17648.73096446701,,105.1015228426396,379.82233502538077,9337.385786802033,935.5076142131983,2128.045685279188,1984.4416243654825,90.53299492385786,20357.436548223355,19456.269035533,43663.95939086296
153,153-ER18,Meadow,False,,59.595643313684214,220.30349157670693,78.43157894736842,2.56,-26.4,3.9,46.46,13.892554395407684,257.1358024691358,29.358024691358022,1.0123456790123466,28457.03703703704,9.111111111111109,29.358024691358022,339.1358024691358,8524.962962962962,1039.679012345679,17766.666666666668,4316.641975308642,341.1604938271605,20968.716049382714,24394.493827160488,35300.49382716049
154,154-ER18,Meadow,False,,50.594279132000004,180.05918642167958,77.98,2.27,-24.88,3.68,44.98,14.254078292870016,859.975,,2.0500000000000016,37176.75,,29.725,336.2000000000001,15241.749999999998,1711.75,3366.1,713.3999999999999,86.10000000000002,19908.575,54916.425,44454.24999999999
155,155-ER18,Meadow,False,,44.581981514999995,122.35424375185471,73.15,0.35,-25.19,4.74,46.73,11.497010998526312,237.636815920398,,1.0199004975124386,15971.641791044776,,118.30845771144277,301.89054726368147,9658.457711442788,1255.4975124378109,262.11442786069654,5305.522388059701,432.4378109452736,21686.144278606964,13429.029850746267,54789.054726368166
156,156-ER18,Meadow,False,,75.25389953842107,206.85110660256882,73.13157894736842,0.97,-25.92,3.45,45.68,15.440967456192139,368.49382716049377,49.60493827160494,2.024691358024693,31605.43209876543,13.160493827160494,51.62962962962962,338.12345679012344,9291.308641975307,680.2962962962962,7130.962962962963,3437.925925925925,,19926.0,52659.185185185175,32688.641975308637
157,157-ER18,Meadow,False,,52.14674931666667,131.59726907080076,70.97777777777777,1.7,-25.99,2.72,44.65,19.143443756522984,67.29797979797979,,2.0707070707070723,14443.181818181814,11.388888888888886,41.41414141414142,273.3333333333333,7793.106060606061,674.0151515151515,,4019.242424242425,,19146.792929292933,39971.893939393936,19744.19191919192
158,158-ER18,Meadow,False,,53.48898507450001,191.7726525989249,78.06,2.27,-25.69,3.79,46.54,14.320384420637422,493.6523929471032,,1.0327455919395474,22503.526448362718,25.818639798488675,25.818639798488675,296.3979848866498,14634.005037783376,1363.2241813602016,972.8463476070531,2114.030226700252,19.622166246851386,23115.944584382873,57376.246851385375,35030.730478589416
159,159-ER18,Meadow,False,,49.75785711789474,182.33517585566625,78.5,2.54,-25.33,3.3,45.59,16.111024563703424,870.8684863523572,,3.052109181141442,27509.677419354837,9.156327543424318,31.538461538461537,306.22828784119116,13693.796526054592,540.2233250620346,213.64764267990074,926.8238213399504,139.37965260545909,16514.96277915633,64976.35235732012,38904.21836228288
160,160-ER18,Meadow,False,,57.202476221578955,166.40999706743807,74.31052631578947,1.8,-25.29,3.37,46.12,15.9597801752389,144.27848101265826,,1.0379746835443049,8963.949367088606,17.645569620253166,25.9493670886076,276.1012658227848,8701.341772151898,681.9493670886077,2614.658227848101,1619.2405063291142,40.481012658227854,19517.037974683546,30980.43037974683,28658.481012658227
161,161-ER18,Meadow,False,,53.259182639473686,160.3523411802156,74.97894736842105,1.94,-25.61,3.32,45.08,15.83482729907198,473.70927318295736,,1.0275689223057654,22421.553884711782,21.57894736842106,26.71679197994988,266.140350877193,9959.197994987471,673.0576441102758,2194.887218045113,2008.8972431077696,,18406.84210526316,46247.794486215535,31597.74436090226
162,162-ER18,Meadow,False,,51.56057216764706,145.7711268005165,73.5,2.22,-26.31,3.64,45.51,14.580518200026223,240.38071065989848,,44.74619289340101,45027.157360406105,49.94923857868021,60.355329949238595,430.81218274111677,9281.192893401016,831.4467005076144,56.192893401015226,3117.664974619289,362.13197969543137,23042.20812182741,50997.13197969544,28616.751269035536
163,163-ER18,Meadow,False,,54.87222988210526,166.66819308046607,75.11052631578947,2.98,-25.25,3.61,45.25,14.617694766949146,474.575,,11.275000000000004,20038.75,9.225,25.625000000000004,281.875,12925.25,1062.9249999999997,8599.75,814.8749999999999,80.975,17530.575,28092.175,35372.749999999985
164,164-ER18,Meadow,False,,99.38599777533334,366.4765884087029,78.04666666666667,0.39,-25.96,2.68,42.34,18.42398482000316,24.84848484848485,1191.6919191919192,4.141414141414142,4717.070707070707,21.742424242424246,13.459595959595957,578.7626262626262,6380.883838383839,261.9444444444444,478.33333333333337,2381.313131313131,285.75757575757575,24220.025252525254,45676.691919191915,16720.959595959594
